symbol,name,fund_size
588000,科创50ETF华夏,45560668200.0
513090,香港证券ETF易方达,10172488000.0
159915,创业板ETF易方达,16619454936.0
513120,港股创新药ETF广发,23036635400.0
510300,沪深300ETF华泰柏瑞,24380587700.0
513130,恒生科技ETF华泰柏瑞,59660347000.0
512100,中证1000ETF南方,8381217600.0
518880,黄金ETF华安,10812640800.0
515880,通信ETF国泰,66557774000.0
512880,证券ETF国泰,56981291500.0
159516,半导体设备ETF国泰,54023359972.0
159941,纳指ETF广发,22505910164.0
159326,电网设备ETF华夏,11611265525.0
159206,卫星ETF永赢,11146953365.0
512400,有色金属ETF南方,12611039000.0
159530,机器人ETF易方达,13053613169.0
515220,煤炭ETF国泰,12621676900.0
512890,红利低波ETF华泰柏瑞,29797110800.0
512800,银行ETF华宝,14431479900.0
159819,人工智能ETF易方达,11329229669.0
159992,创新药ETF银华,20518781217.0
513750,港股通非银ETF广发,9978838000.0
159870,化工ETF鹏华,18240107019.0
510880,红利ETF华泰柏瑞,7665175700.0
512690,酒ETF鹏华,33432550200.0
159755,电池ETF广发,9116646746.0
159611,电力ETF广发,10559162900.0
512170,医疗ETF华宝,80232820500.0
159869,游戏ETF华夏,8613082127.0
159852,软件ETF嘉实,11871623921.0
159201,自由现金流ETF华夏,14558275939.0
513630,XD港股低波红利ETF摩根,7855359000.0
513500,标普500ETF博时,10077638600.0
512710,军工龙头ETF富国,11921658400.0
159851,金融科技ETF华宝,10677904148.0
159865,养殖ETF国泰,12107455659.0
159307,红利低波100ETF博时,7392903552.0
159883,医疗器械ETF永赢,9586037843.0
