symbol,name,fund_size
512170,医疗ETF华宝,80219820500.0
512000,券商ETF华宝,75602435400.0
513330,恒生互联网ETF华夏,70923480000.0
515880,通信ETF国泰,70713774000.0
159516,半导体设备ETF国泰,56975359972.0
512010,医药ETF易方达,46662694900.0
588000,科创50ETF华夏,45512668200.0
512690,酒ETF鹏华,33758350200.0
512890,红利低波ETF华泰柏瑞,29924110800.0
563360,A500ETF华泰柏瑞,26959987400.0
159928,消费ETF汇添富,23184629040.0
513120,港股创新药ETF广发,23083635400.0
159941,纳指ETF广发,22502010164.0
159870,化工ETF鹏华,18027107019.0
562500,机器人ETF华夏,17905187300.0
512800,银行ETF华宝,15492879900.0
159201,自由现金流ETF华夏,13950275939.0
159781,科创创业ETF易方达,13843860533.0
515180,红利ETF易方达,13748637000.0
515220,煤炭ETF国泰,12764176900.0
159865,养殖ETF国泰,12049455659.0
512400,有色金属ETF南方,12040039000.0
512710,军工龙头ETF富国,11918658400.0
159852,软件ETF嘉实,11867623921.0
159206,卫星ETF永赢,11527953365.0
159326,电网设备ETF华夏,10884265525.0
512100,中证1000ETF南方,10693217600.0
159851,金融科技ETF华宝,10582904148.0
518880,黄金ETF华安,10446640800.0
513090,香港证券ETF易方达,10276488000.0
513500,标普500ETF博时,10062638600.0
